iter	Passed	Remaining
0	0	96
1	1	85
2	2	82
3	3	76
4	4	76
5	4	75
6	5	73
7	6	73
8	7	72
9	7	71
10	8	72
11	9	71
12	10	71
13	11	70
14	12	69
15	13	69
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	48
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	31
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
