iter	Passed	Remaining
0	139	139815
1	141	70580
2	142	47402
3	143	35851
4	145	29033
5	147	24429
6	148	21133
7	150	18629
8	151	16684
9	153	15148
10	154	13880
11	155	12820
12	156	11917
13	158	11173
14	160	10543
15	161	9961
16	163	9442
17	164	8989
18	166	8581
19	167	8224
20	169	7913
21	171	7611
22	172	7344
23	174	7109
24	176	6872
25	177	6655
26	179	6465
27	180	6282
28	182	6109
29	183	5943
30	185	5786
31	186	5638
32	188	5525
33	190	5410
34	191	5284
35	193	5177
36	194	5073
37	196	4973
38	197	4877
39	199	4781
40	200	4689
41	202	4611
42	204	4544
43	205	4467
44	207	4400
45	208	4328
46	210	4265
47	211	4201
48	213	4139
49	214	4076
50	216	4021
51	218	3983
52	220	3932
53	221	3882
54	223	3833
55	224	3785
56	226	3739
57	227	3691
58	228	3648
59	230	3606
60	232	3573
61	233	3539
62	235	3500
63	236	3459
64	238	3424
65	239	3387
66	240	3355
67	242	3322
68	243	3288
69	244	3254
70	247	3235
71	249	3214
72	250	3183
73	251	3151
74	253	3121
75	254	3094
76	255	3068
77	257	3039
78	258	3012
79	259	2986
80	261	2964
81	263	2945
82	263	2916
83	265	2895
84	267	2875
85	268	2856
86	270	2835
87	271	2815
88	273	2797
89	274	2772
90	275	2754
91	277	2743
92	278	2719
93	280	2702
94	281	2684
95	283	2667
96	284	2650
97	286	2632
98	287	2616
99	288	2600
100	290	2587
101	292	2577
102	294	2563
103	295	2547
104	297	2532
105	298	2517
106	299	2502
107	301	2489
108	302	2474
109	304	2459
110	305	2449
111	307	2440
112	309	2427
113	310	2415
114	312	2403
115	313	2391
116	315	2382
117	317	2372
118	319	2363
119	321	2357
120	323	2353
121	325	2341
122	326	2330
123	328	2319
124	329	2308
125	331	2298
126	332	2287
127	334	2277
128	336	2269
129	338	2264
130	339	2253
131	341	2242
132	342	2232
133	343	2223
134	345	2212
135	346	2203
136	348	2195
137	349	2184
138	351	2179
139	353	2171
140	354	2161
141	356	2151
142	357	2139
143	358	2130
144	359	2121
145	361	2111
146	362	2102
147	363	2094
148	365	2088
149	367	2081
150	369	2075
151	370	2066
152	371	2057
153	373	2049
154	374	2041
155	376	2034
156	377	2027
157	378	2019
158	380	2014
159	382	2010
160	384	2003
161	385	1995
162	387	1988
163	389	1983
164	390	1976
165	392	1970
166	393	1963
167	395	1956
168	397	1953
169	398	1946
170	400	1940
171	401	1932
172	402	1925
173	404	1918
174	406	1914
175	407	1909
176	410	1908
177	413	1908
178	414	1902
179	416	1897
180	418	1894
181	420	1889
182	422	1884
183	423	1879
184	426	1876
185	428	1874
186	430	1870
187	431	1865
188	433	1861
189	435	1855
190	436	1849
191	438	1844
192	441	1844
193	443	1841
194	444	1836
195	446	1832
196	448	1827
197	449	1822
